uuid,identifier,Date,Type,LanduseAroundMound,LanduseOnTopOfMound,Prominence,Latitude,Longitude,Northing,Easting,HeightMax,DiameterMax,DiameterMin,Condition,MostRecentDamageWithin,geospatialcolumn
1.00E+18,9549,13-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.41114213,26.0988467,4695819.802,425850.686,1,17,15,3 - damaged,Last month,POINT(425850.685999 4695819.801796)
1.00E+18,9550,13-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.41221134,26.08729535,4695948.673,424901.4784,2,30,25,3 - damaged,Last year,POINT(424901.478409 4695948.673051)
1.00E+18,9551,13-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.41179232,26.08755017,4695901.92,424921.9458,2,28,25,4 - seriously damaged,Unknown,POINT(424921.945833 4695901.920041)
1.00E+18,9552,13-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.40839652,26.08783114,4695524.608,424941.0155,2.2,35,30,3 - damaged,Unknown,POINT(424941.015526 4695524.608066)
1.00E+18,9553,13-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.40831651,26.08812699,4695515.463,424965.2644,1.6,18,18,4 - seriously damaged,Last year,POINT(424965.264361 4695515.463419)
1.00E+18,8345,13-Sep,Extinct Burial Mound,Other (explain in notes),Other (explain in notes),Hilltop,42.51417035,26.57072275,4706955.811,464735.8851,0,0,,5 - extinct or near extinct,Unknown,POINT(464735.885097 4706955.811099)
1.00E+18,8346,13-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Hilltop,42.51413567,26.56663783,4706953.667,464400.2978,1,21,16,2 - minor damage,,POINT(464400.297809 4706953.666732)
1.00E+18,9554,13-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.40580572,26.07543913,4695247.955,423918.184,1.5,25,25,4 - seriously damaged,Last year,POINT(423918.183956 4695247.954506)
1.00E+18,8129,13-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.42725522,26.65888508,4697272.01,471939.4245,4,30,30,3 - damaged,Last year,POINT(471939.424513 4697272.009501)
1.00E+18,8347,13-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Hilltop,42.51431229,26.56659373,4706973.297,464396.7761,1.2,17,,1 - pristine,Unknown,POINT(464396.776063 4706973.297402)
1.00E+18,8348,13-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Hilltop,42.51400412,26.56599884,4706939.328,464347.732,1.5,15,,2 - minor damage,Unknown,POINT(464347.731969 4706939.328214)
1.00E+18,8130,13-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.42704147,26.65917435,4697248.18,471963.125,2.5,35,30,3 - damaged,Unknown,POINT(471963.124999 4697248.179696)
1.00E+18,8349,13-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Hilltop,42.51381987,26.56613375,4706918.812,464358.7094,1.75,17,,2 - minor damage,Unknown,POINT(464358.709393 4706918.812094)
1.00E+18,8350,13-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Hilltop,42.5140243,26.56454981,4706942.18,464228.7082,1.2,18,,2 - minor damage,,POINT(464228.708245 4706942.179848)
1.00E+18,9555,13-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.39734979,26.07527418,4694309.173,423894.3904,0.9,17,15,3 - damaged,Last month,POINT(423894.390429 4694309.172601)
1.00E+18,8131,13-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Hilltop,42.42983191,26.66345402,4697556.618,472316.4059,1.8,30,25,4 - seriously damaged,Unknown,POINT(472316.40587 4697556.618444)
1.00E+18,9556,13-Sep,Surface Scatter,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.40331768,26.07898993,4694968.514,424207.3856,0,200,200,0 - No observation,Last month,POINT(424207.385641 4694968.513763)
1.00E+18,8351,13-Sep,Burial Mound,Scrub,Pasture (grassland),Hilltop,42.51240266,26.55310393,4706767.006,463287.5029,3,30,,2 - minor damage,Last month,POINT(463287.502946 4706767.006287)
1.00E+18,9557,13-Sep,Burial Mound,Perennial agriculture (e.g orchard or vineyard),Perennial agriculture (e.g orchard or vineyard),Valley Bottom or Plain,42.40454493,26.08309879,4695101.128,424546.9891,1.6,17,15,2 - minor damage,Unknown,POINT(424546.989125 4695101.127631)
1.00E+18,8132,13-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Hilltop,42.43187987,26.66368417,4697783.944,472336.2387,4.5,35,35,2 - minor damage,Unknown,POINT(472336.238714 4697783.94358)
1.00E+18,9558,13-Sep,Burial Mound,Perennial agriculture (e.g orchard or vineyard),Perennial agriculture (e.g orchard or vineyard),Valley Bottom or Plain,42.40225057,26.08952904,4694840.676,425073.4164,1.5,25,24,3 - damaged,Unknown,POINT(425073.416422 4694840.676182)
1.00E+18,8133,13-Sep,Burial Mound,Other (explain in notes),Other (explain in notes),Hilltop,42.42313179,26.6553268,4696815.336,471644.8571,1,45,40,2 - minor damage,Last year,POINT(471644.857138 4696815.336412)
1.00E+18,8352,13-Sep,Burial Mound,Annual agriculture,Annual agriculture,Upper slope,42.50452086,26.53949379,4705897.801,462164.6753,1.3,24,,2 - minor damage,Last month,POINT(462164.675252 4705897.801363)
1.00E+18,8134,13-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.4331409,26.64800169,4697929.193,471046.8504,1.8,35,30,3 - damaged,Unknown,POINT(471046.850444 4697929.193262)
1.00E+18,8353,13-Sep,Burial Mound,Annual agriculture,Pasture (grassland),Hilltop (local maximum),42.50394332,26.53938471,4705833.721,462155.3655,3.2,25,,2 - minor damage,Unknown,POINT(462155.365455 4705833.720766)
1.00E+18,9559,13-Sep,Burial Mound,Annual agriculture,Pasture (grassland),Valley Bottom or Plain,42.39596024,26.09689719,4694135.739,425672.354,0.8,15,15,3 - damaged,Last year,POINT(425672.353963 4694135.738917)
1.00E+18,8135,13-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.433734,26.65042959,4697994.225,471246.8257,1,25,13,4 - seriously damaged,Unknown,POINT(471246.825745 4697994.224684)
1.00E+18,8136,13-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.43184224,26.64428467,4697786.268,470740.5076,1.8,45,40,2 - minor damage,Unknown,POINT(470740.507581 4697786.267793)
1.00E+18,9560,13-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.3882081,26.10022728,4693272.051,425937.3164,1.3,40,40,3 - damaged,Last year,POINT(425937.316427 4693272.050786)
1.00E+18,8354,13-Sep,Burial Mound,Perennial agriculture (e.g orchard or vineyard),Pasture (grassland),Hilltop,42.50703375,26.55461101,4706170.197,463408.1784,1,20,,2 - minor damage,Unknown,POINT(463408.178361 4706170.196633)
1.00E+18,8355,13-Sep,Burial Mound,Perennial agriculture (e.g orchard or vineyard),Scrub,Hilltop,42.50733415,26.55450363,4706203.599,463399.5321,2,26,,2 - minor damage,Unknown,POINT(463399.532079 4706203.599134)
1.00E+18,8137,13-Sep,Burial Mound,Scrub,Pasture (grassland),Valley Bottom or Plain,42.41292503,26.64195044,4695686.559,470539.6489,0.3,20,15,5 - extinct or near extinct,Unknown,POINT(470539.648914 4695686.559089)
1.00E+18,9561,13-Sep,Burial Mound,Annual agriculture,Pasture (grassland),Valley Bottom or Plain,42.39400138,26.10688994,4693909.538,426492.5031,5,35,30,3 - damaged,Last year,POINT(426492.503071 4693909.538426)
1.00E+18,8356,13-Sep,Burial Mound,Perennial agriculture (e.g orchard or vineyard),Pasture (grassland),Hilltop,42.50717332,26.55512627,4706185.471,463450.5921,2,26,20,1 - pristine,Unknown,POINT(463450.592052 4706185.471396)
1.00E+18,9562,13-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.3929786,26.10826665,4693794.781,426604.6222,2,18,14,3 - damaged,Last year,POINT(426604.622211 4693794.781267)
1.00E+18,9563,13-Sep,Other,Pasture (grassland),Scrub,Valley Bottom or Plain,42.38931349,26.11273756,4693383.964,426968.3603,10,100,90,2 - minor damage,Unknown,POINT(426968.360275 4693383.964234)
1.00E+18,8138,13-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.42336052,26.60915487,4696857.181,467846.5544,0.3,40,35,5 - extinct or near extinct,Last month,POINT(467846.554421 4696857.181172)
1.00E+18,8357,13-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Hilltop,42.50909979,26.57634437,4706390.457,465194.8752,3,32,,1 - pristine,,POINT(465194.875234 4706390.457469)
1.00E+18,9564,13-Sep,Burial Mound,Annual agriculture,Scrub,Valley Bottom or Plain,42.38453949,26.11649632,4692850.647,427272.2396,1.4,24,20,3 - damaged,Last year,POINT(427272.239627 4692850.646958)
1.00E+18,9565,13-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.38423405,26.11656827,4692816.671,427277.8098,0.5,20,18,3 - damaged,Last year,POINT(427277.809792 4692816.670709)
1.00E+18,9566,13-Sep,Burial Mound,Annual agriculture,Pasture (grassland),Valley Bottom or Plain,42.38392561,26.11657043,4692782.42,427277.632,6,40,40,4 - seriously damaged,Last year,POINT(427277.632017 4692782.41994)
1.00E+18,8139,13-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.42389498,26.60477211,4696918.195,467486.276,0,0,0,5 - extinct or near extinct,,POINT(467486.276025 4696918.194782)
1.00E+18,8140,13-Sep,Extinct Burial Mound,Pasture (grassland),Pasture (grassland),Upper slope,42.43780573,26.59530396,4698466.478,466714.7315,0,0,0,5 - extinct or near extinct,Unknown,POINT(466714.731518 4698466.478464)
1.00E+18,8358,13-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.50889887,26.56291915,4706373.745,464091.8189,0,0,,5 - extinct or near extinct,Last month,POINT(464091.818887 4706373.745243)
1.00E+18,9567,13-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.38421287,26.13229737,4692800.979,428572.5807,0.8,18,18,2 - minor damage,Last month,POINT(428572.580737 4692800.979248)
1.00E+18,8142,13-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Hilltop,42.443048,26.600645,,,4,40,35,2 - minor damage,Unknown,POINT(467084.775578 4698742.866633)
1.00E+18,8359,13-Sep,Uncertain Mound,Scrub,Pasture (grassland),Hilltop,42.50883206,26.58092907,4706358.857,465571.3818,2.5,23,,1 - pristine,Unknown,POINT(465571.38175 4706358.857014)
1.00E+18,8143,13-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.44751947,26.60218398,4699542.395,467285.6518,0.8,50,50,4 - seriously damaged,Last year,POINT(467285.651755 4699542.395175)
1.00E+18,8144,13-Sep,Surface Scatter,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.360651,26.041216,,,0,0,0,0 - No observation,Last year,POINT(421039.335654 4690266.36853)
1.00E+18,9568,13-Sep,Surface Scatter,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.344831,26.114811,,,0,0,,0 - No observation,Last month,POINT(427055.433058 4688425.080278)
1.00E+18,9569,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.40570617,26.04358574,4695265.919,421296.8326,1,18,15,3 - damaged,Last year,POINT(421296.832586 4695265.919268)
1.00E+18,9570,14-Sep,Burial Mound,Annual agriculture,Pasture (grassland),Valley Bottom or Plain,42.40381993,26.04034342,4695059.484,421027.654,2.4,22,20,2 - minor damage,Unknown,POINT(421027.653989 4695059.484109)
1.00E+18,9571,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.39944612,26.04066869,4694573.522,421048.9374,1.5,25,20,3 - damaged,Last month,POINT(421048.937392 4694573.522278)
1.00E+18,9572,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.39044311,26.03431941,4693579.765,420515.0389,0.8,19,19,2 - minor damage,Last month,POINT(420515.038905 4693579.765189)
1.00E+18,8360,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.64050891,26.74048653,4720927.819,478724.5816,1.4,40,,3 - damaged,Last month,POINT(478724.581638 4720927.818736)
1.00E+18,9573,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.38740711,26.04650085,4693231.333,421513.9163,0.9,15,15,2 - minor damage,Last week,POINT(421513.91633 4693231.332679)
1.00E+18,8361,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.63943084,26.73783139,4720808.78,478506.5374,1.2,50,,4 - seriously damaged,Other (2012 survey of joining gas pipeline),POINT(478506.537435 4720808.779875)
1.00E+18,9574,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.38712981,26.0473699,4693199.739,421585.1068,2.4,18,18,2 - minor damage,Last year,POINT(421585.106754 4693199.738803)
1.00E+18,8145,14-Sep,Burial Mound,Perennial agriculture (e.g orchard or vineyard),Perennial agriculture (e.g orchard or vineyard),Valley Bottom or Plain,42.5965278,26.72147963,4716049.069,477150.2832,3.5,60,50,3 - damaged,Unknown,POINT(477150.283247 4716049.069219)
1.00E+18,9575,14-Sep,Burial Mound,Annual agriculture,Pasture (grassland),Valley Bottom or Plain,42.38768541,26.04738074,4693261.422,421586.6904,2.6,27,25,2 - minor damage,Last year,POINT(421586.690364 4693261.421785)
1.00E+18,9576,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.3881612,26.04757937,4693314.069,421603.6328,0.5,17,17,3 - damaged,Last month,POINT(421603.632848 4693314.068857)
1.00E+18,9577,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.38867477,26.04766574,4693371.016,421611.3816,0.5,16,16,2 - minor damage,Last month,POINT(421611.381556 4693371.015876)
1.00E+18,8146,14-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.59699836,26.7190011,4716101.992,476947.1194,0,0,,5 - extinct or near extinct,Last year,POINT(476947.119423 4716101.991995)
1.00E+18,8362,14-Sep,Burial Mound,Perennial agriculture (e.g orchard or vineyard),Scrub,Lower slope,42.64089119,26.72826896,4720973.413,477723.0978,3.5,35,,3 - damaged,Unknown,POINT(477723.097842 4720973.413417)
1.00E+18,8363,14-Sep,Burial Mound,Perennial agriculture (e.g orchard or vineyard),Scrub,Upper slope,42.64204179,26.72737219,4721101.414,477649.9909,4,35,,1 - pristine,Unknown,POINT(477649.990913 4721101.41398)
1.00E+18,9578,14-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.39070847,26.05084543,4693593.905,421875.6324,0.2,0,0,4 - seriously damaged,Last month,POINT(421875.632418 4693593.90468)
1.00E+18,9579,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.39089331,26.05208676,4693613.289,421978.036,0.4,14,13,3 - damaged,Last month,POINT(421978.035965 4693613.288801)
1.00E+18,8147,14-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.5936338,26.73741899,4715723.538,478456.9475,3.5,60,50,3 - damaged,Last month,POINT(478456.947537 4715723.538442)
1.00E+18,8364,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.6425537,26.73592337,4721156.032,478351.1941,1.4,30,,3 - damaged,Last month,POINT(478351.194094 4721156.0323)
1.00E+18,8365,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.64268392,26.73660096,4721170.32,478406.7872,1.1,35,30,3 - damaged,Last month,POINT(478406.787179 4721170.31985)
1.00E+18,9580,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.39267737,26.0451599,4693817.77,421410.1124,0.8,22,20,2 - minor damage,Last month,POINT(421410.112429 4693817.769813)
1.00E+18,8366,14-Sep,Burial Mound,Scrub,Scrub,Lower slope,42.64304669,26.73733598,4721210.414,478467.169,6,45,,2 - minor damage,Unknown,POINT(478467.168995 4721210.41441)
1.00E+18,8148,14-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.59463523,26.73132482,4715836.307,477957.3135,0,0,0,5 - extinct or near extinct,Last year,POINT(477957.313471 4715836.306785)
1.00E+18,8367,14-Sep,Burial Mound,Scrub,Scrub,Lower slope,42.6438227,26.73759143,4721296.519,478488.3775,2.7,35,30,2 - minor damage,Unknown,POINT(478488.377476 4721296.519097)
1.00E+18,9581,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.40097691,26.05087367,4694734.066,421890.6929,0.4,15,15,3 - damaged,Last month,POINT(421890.692864 4694734.065739)
1.00E+18,8368,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.64259988,26.73766079,4721160.718,478493.6421,0.5,25,,4 - seriously damaged,Last month,POINT(478493.642139 4721160.717564)
1.00E+18,8369,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.64282251,26.73894843,4721185.112,478599.278,1.65,25,,3 - damaged,Last month,POINT(478599.278044 4721185.111523)
1.00E+18,8370,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.64283427,26.73876516,4721186.464,478584.2578,1.8,30,,2 - minor damage,Last month,POINT(478584.257796 4721186.464244)
1.00E+18,8371,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.64350289,26.7392875,4721260.577,478627.3075,1.6,33,,3 - damaged,Last month,POINT(478627.30751 4721260.576643)
1.00E+18,8372,14-Sep,Burial Mound,Annual agriculture,Scrub,Lower slope,42.64298871,26.73953301,4721203.42,478647.2584,6.5,30,,1 - pristine,Unknown,POINT(478647.258352 4721203.419731)
1.00E+18,8373,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.64324732,26.74006741,4721232.001,478691.1562,1,26,,3 - damaged,Last month,POINT(478691.156182 4721232.001351)
1.00E+18,8149,14-Sep,Burial Mound,Annual agriculture,Scrub,Valley Bottom or Plain,42.56532207,26.70678897,4712588.046,475933.0677,3,36,30,4 - seriously damaged,Last year,POINT(475933.067678 4712588.046267)
1.00E+18,8374,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.64326603,26.74077241,4721233.902,478748.9572,1.5,25,,3 - damaged,Last month,POINT(478748.957238 4721233.901604)
1.00E+18,8375,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.64337221,26.74142446,4721245.527,478802.4471,1.3,26,,3 - damaged,Last month,POINT(478802.447081 4721245.527444)
1.00E+18,9582,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.41083273,26.0553341,4695824.347,422269.9411,0.4,18,17,3 - damaged,Last month,POINT(422269.94107 4695824.346501)
1.00E+18,8376,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.64317995,26.74220435,4721223.984,478866.3161,1.45,28,,2 - minor damage,Last month,POINT(478866.316069 4721223.983519)
1.00E+18,8377,14-Sep,Burial Mound,Annual agriculture,Scrub,Lower slope,42.64383983,26.74300737,4721297.057,478932.3695,3.5,25,,2 - minor damage,Unknown,POINT(478932.369468 4721297.057242)
1.00E+18,9583,14-Sep,Burial Mound,Urban (in a settlement or surrounded by infrastructure),Pasture (grassland),Valley Bottom or Plain,42.41403509,26.06017882,4696175.509,422672.517,0.6,14,13,3 - damaged,Last week,POINT(422672.516978 4696175.509019)
1.00E+18,8150,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.55779069,26.70574259,4711752.06,475844.2747,1.5,60,55,3 - damaged,Last year,POINT(475844.274737 4711752.060217)
1.00E+18,8378,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.64391798,26.74169733,4721306.063,478825.0015,1.3,30,,3 - damaged,Last month,POINT(478825.001511 4721306.062903)
1.00E+18,8379,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.64431061,26.74055397,4721349.948,478731.4059,1.3,25,,3 - damaged,Last month,POINT(478731.405904 4721349.948168)
1.00E+18,8380,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.64470376,26.74041181,4721393.64,478719.8857,0.8,18,,4 - seriously damaged,Last month,POINT(478719.885745 4721393.63971)
1.00E+18,9584,14-Sep,Burial Mound,Urban (in a settlement or surrounded by infrastructure),Pasture (grassland),Valley Bottom or Plain,42.41923309,26.06932143,4696744.403,423431.0922,2,19,18,4 - seriously damaged,Last year,POINT(423431.09219 4696744.403181)
1.00E+18,8381,14-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.64460178,26.74380932,4721381.466,478998.3676,0,0,,5 - extinct or near extinct,Last month,POINT(478998.367587 4721381.46624)
1.00E+18,8151,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.56838646,26.71562174,4712925.844,476659.209,0.8,55,50,3 - damaged,Last year,POINT(476659.208968 4712925.844047)
1.00E+18,9585,14-Sep,Burial Mound,Scrub,Scrub,Lower slope,42.41937669,26.0687763,4696760.84,423386.4176,2.6,30,30,4 - seriously damaged,Unknown,POINT(423386.417553 4696760.840005)
1.00E+18,8152,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.57042774,26.72944384,4713148.792,477794.4048,1,40,35,4 - seriously damaged,Last year,POINT(477794.404802 4713148.79162)
1.00E+18,8153,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.5765862,26.69620376,4713841.878,475068.7127,0.8,60,55,4 - seriously damaged,Last month,POINT(475068.712664 4713841.878012)
1.00E+18,8382,14-Sep,Surface Scatter,Annual agriculture,Annual agriculture,Upper slope,42.65247945,26.73995829,4722257.178,478685.363,0,150,,3 - damaged,Last month,POINT(478685.36304 4722257.178262)
1.00E+18,8154,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.59585691,26.66852819,4715990.224,472805.87,1,60,55,4 - seriously damaged,Last month,POINT(472805.869956 4715990.223804)
1.00E+18,8383,14-Sep,Surface Scatter,Annual agriculture,Annual agriculture,Upper slope,42.65228682,26.73007714,4722238.327,477875.3736,0,150,,0 - No observation,Last month,POINT(477875.373627 4722238.326642)
1.00E+18,8384,14-Sep,Burial Mound,Scrub,Pasture (grassland),Hilltop,42.65134773,26.72751261,4722134.722,477664.8322,2.5,25,,2 - minor damage,Unknown,POINT(477664.832229 4722134.722159)
1.00E+18,8385,14-Sep,Burial Mound,Scrub,Scrub,Hilltop,42.65042453,26.72764953,4722032.173,477675.7245,3,30,,2 - minor damage,Unknown,POINT(477675.72453 4722032.172756)
1.00E+18,8155,14-Sep,Extinct Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.61255764,26.6897997,4717838.072,474557.7939,0,0,0,5 - extinct or near extinct,Last month,POINT(474557.793857 4717838.071988)
1.00E+18,8386,14-Sep,Extinct Burial Mound,Scrub,Pasture (grassland),Hilltop,42.64992832,26.72774941,4721977.046,477683.7343,3,30,,5 - extinct or near extinct,Unknown,POINT(477683.734318 4721977.046082)
1.00E+18,8156,14-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.61120343,26.69773316,4717685.344,475207.9494,0.8,60,60,4 - seriously damaged,Last month,POINT(475207.949372 4717685.343928)
1.00E+18,9586,15-Sep,Burial Mound,Annual agriculture,Pasture (grassland),Lower slope,42.31814355,26.61485191,4685172.139,468262.3038,7,45,45,2 - minor damage,Unknown,POINT(468262.303824 4685172.139061)
1.00E+18,9587,15-Sep,Burial Mound,Annual agriculture,Pasture (grassland),Lower slope,42.31883148,26.61519642,4685248.395,468291.0384,2,30,30,4 - seriously damaged,Last month,POINT(468291.038352 4685248.395125)
1.00E+18,9588,15-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Lower slope,42.31630191,26.61322669,4684968.259,468127.4504,7,45,40,2 - minor damage,Unknown,POINT(468127.450421 4684968.258547)
1.00E+18,8387,15-Sep,Burial Mound,Annual agriculture,Scrub,Hilltop,42.37069033,26.68817614,4690981.965,474325.9007,2.8,33,,2 - minor damage,Unknown,POINT(474325.900682 4690981.965327)
1.00E+18,8157,15-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.37328677,26.69571289,4691268.015,474947.473,0.8,40,50,4 - seriously damaged,Last year,POINT(474947.473013 4691268.014998)
1.00E+18,8388,15-Sep,Uncertain Mound,Annual agriculture,Annual agriculture,Hilltop,42.36998376,26.68746995,4690903.723,474267.4673,0.4,15,,4 - seriously damaged,Last month,POINT(474267.467296 4690903.723142)
1.00E+18,9589,15-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Lower slope,42.31521899,26.61229091,4684848.368,468049.7878,1,15,13,2 - minor damage,Unknown,POINT(468049.787759 4684848.367988)
1.00E+18,8389,15-Sep,Burial Mound,Annual agriculture,Annual agriculture,Hilltop,42.37009877,26.68690912,4690916.664,474221.3384,1,28,,3 - damaged,Last month,POINT(474221.338445 4690916.663801)
1.00E+18,9590,15-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Lower slope,42.31461665,26.61197769,4684781.604,468023.6714,1.5,19,18,2 - minor damage,Unknown,POINT(468023.671395 4684781.604499)
1.00E+18,8390,15-Sep,Burial Mound,Annual agriculture,Other (explain in notes) (dirt road),Upper slope,42.37046618,26.68530493,4690957.947,474089.406,0.8,32,,4 - seriously damaged,Last month,POINT(474089.405998 4690957.947345)
1.00E+18,8391,15-Sep,Burial Mound,Annual agriculture,Annual agriculture,Hilltop,42.37002416,26.6842255,4690909.196,474000.3485,1.5,35,,3 - damaged,Last month,POINT(474000.34847 4690909.195911)
1.00E+18,9591,15-Sep,Burial Mound,Annual agriculture,Annual agriculture,Upper slope,42.3087997,26.60858275,4684136.999,467740.9289,1.5,20,20,2 - minor damage,Last month,POINT(467740.928942 4684136.999067)
1.00E+18,8158,15-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Hilltop,42.40829294,26.76341679,4695137.247,480532.486,1,35,30,1 - pristine,,POINT(480532.486032 4695137.247436)
1.00E+18,9592,15-Sep,Burial Mound,Annual agriculture,Annual agriculture,Upper slope,42.30630193,26.60856135,4683859.668,467737.8901,1.1,18,18,2 - minor damage,Last month,POINT(467737.890101 4683859.667948)
1.00E+18,9593,15-Sep,Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.30544709,26.60860502,4683764.734,467741.0527,0.9,16,16,3 - damaged,Last month,POINT(467741.052669 4683764.733836)
1.00E+18,8392,15-Sep,Burial Mound,Annual agriculture,Other (explain in notes) (water canal and field division),Hilltop (local maximum),42.36872282,26.67250379,4690768.352,473034.6708,1.2,35,,4 - seriously damaged,Last month,POINT(473034.670826 4690768.351956)
1.00E+18,9594,15-Sep,Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.30514667,26.60872436,4683731.331,467750.7356,0.9,17,17,2 - minor damage,Last month,POINT(467750.735617 4683731.330786)
1.00E+18,9595,15-Sep,Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.30512701,26.60828547,4683729.315,467714.5513,0.8,14,14,2 - minor damage,Last month,POINT(467714.551263 4683729.314612)
1.00E+18,9596,15-Sep,Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.30454224,26.6079904,4683664.496,467689.9327,0.9,17,17,2 - minor damage,Last month,POINT(467689.932668 4683664.496323)
